301966,Samsung
F0E77E,Samsung
94350A,Samsung
001D25,Samsung
E4C1F1,SHENZHEN
240AC4,Espressif
343111,Samsung
08FD0E,Samsung
041BBA,Samsung
889B39,Samsung
E432CB,Samsung
BC8CCD,SAMSUNG
D022BE,SAMSUNG
EC9BF3,SAMSUNG
F409D8,SAMSUNG
10D542,Samsung
A0821F,Samsung
F06BCA,Samsung
AC3613,Samsung
002611,Licera
005094,ARRIS
E0B7B1,ARRIS
D82522,ARRIS
F0038C,AzureWave
18D276,HUAWEI
005218,Wuxi
001E81,CNB
7CA97D,Objenious
A8A648,Qingdao
985DAD,Texas
D43639,Texas
BC282C,e-Smart
A40DBC,Xiamen
84EF18,Intel
84C1C1,Juniper
A81B6A,Texas
343DC4,BUFFALO.INC
B0F893,Shanghai
C411E0,Bull
28C87A,ARRIS
48FD8E,HUAWEI
7C0623,Ultra
28AC67,Mach
14825B,Hefei
641269,ARRIS
0002C9,Mellanox
080051,ExperData
00126C,Visonic
AC6175,HUAWEI
244427,HUAWEI
0080C7,XIRCOM
000138,XAVi
00166D,Yulong
3C9157,Yulong
0000D8,Novell
001F46,Nortel
003093,Sonnet
00034B,Nortel
002561,ProCurve
008058,PRINTER
00157D,POSDATA
4849C7,Samsung
849866,Samsung
001C9C,Nortel
001B25,Nortel
0019E1,Nortel
001D42,Nortel
00140D,Nortel
000E40,Nortel
FCB0C4,Shanghai
A89DD2,Shanghai
00E00F,Shanghai
28BE03,TCT
903AE6,PARROT
A098ED,Shandong
000EF4,Kasda
00167A,Skyworth
A42940,Shenzhen
E4A387,Control
1880F5,Alcatel-Lucent
10E878,Nokia
10F96F,LG
C4438F,LG
A09169,LG
286C07,XIAOMI
002280,A2B
404AD4,Widex
9893CC,LG
3CCD93,LG
2021A5,LG
6CD68A,LG
CC79CF,SHENZHEN
001925,Intelicis
9476B7,Samsung
2C54CF,LG
485929,LG
58A2B5,LG
002483,LG
001FE3,LG
F0421C,Intel
000F62,Alcatel
001CD8,BlueAnt
0019AB,Raycom
4C334E,HIGHTECH
7C70BC,IEEE
E81863,IEEE
2CD141,IEEE
3C39E7,IEEE
BC6641,IEEE
80E4DA,IEEE
885D90,IEEE
C88ED1,IEEE
B01F81,IEEE
549A11,IEEE
B8D812,IEEE
1C21D1,IEEE
283638,IEEE
F485C6,FDT
D404FF,Juniper
C8755B,Quantify
88124E,Qualcomm
001428,Vocollect
006B9E,Vizio
4C6641,SAMSUNG
5CA86A,HUAWEI
001B32,QLogic
0017CA,Qisda
70F395,Universal
48F7C0,Technicolor
0015B7,Toshiba
E89D87,Toshiba
E09579,ORTHOsoft
A0ADA1,JMR
BCC00F,Fiberhome
9CA5C0,vivo
80C6AB,Technicolor
90A4DE,Wistron
70E284,Wistron
A854B2,Wistron
3044A1,Shanghai
CC03FA,Technicolor
E0ACF1,Cisco
00015B,ITALTEL
00A0A8,RENEX
00C0AB,Telco
0023F8,Zyxel
0019CB,Zyxel
2C094D,Raptor
AC3743,HTC
